   Time                        u                   v                   w                  p                      q                      r                  x_f                     y_f                   z_f                   e_0                   e_x                   e_y                   e_z 
  4.900000000000e+00   9.939464966912e+01   0.000000000000e+00   1.562206421509e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.886901337632e+02   0.000000000000e+00   5.961672382311e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.000000000000e+00   9.937697399139e+01   0.000000000000e+00   1.593916656761e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.986287171431e+02   0.000000000000e+00   5.960094319953e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.100000000000e+00   9.935903374167e+01   0.000000000000e+00   1.625616964574e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.085655197423e+02   0.000000000000e+00   5.958484552307e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.200000000000e+00   9.934082706716e+01   0.000000000000e+00   1.657307143901e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.185005150106e+02   0.000000000000e+00   5.956843089400e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.300000000000e+00   9.932235216429e+01   0.000000000000e+00   1.688986992670e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.284336762148e+02   0.000000000000e+00   5.955169941462e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.400000000000e+00   9.930360727575e+01   0.000000000000e+00   1.720656307796e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.383649764438e+02   0.000000000000e+00   5.953465118926e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.500000000000e+00   9.928459068771e+01   0.000000000000e+00   1.752314885191e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.482943886132e+02   0.000000000000e+00   5.951728632426e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.600000000000e+00   9.926530072720e+01   0.000000000000e+00   1.783962519767e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.582218854689e+02   0.000000000000e+00   5.949960492803e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.700000000000e+00   9.924573575964e+01   0.000000000000e+00   1.815599005448e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.681474395917e+02   0.000000000000e+00   5.948160711103e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.800000000000e+00   9.922589418647e+01   0.000000000000e+00   1.847224135172e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.780710234006e+02   0.000000000000e+00   5.946329298577e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.900000000000e+00   9.920577444296e+01   0.000000000000e+00   1.878837700893e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.879926091566e+02   0.000000000000e+00   5.944466266687e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.000000000000e+00   9.918537499612e+01   0.000000000000e+00   1.910439493583e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.979121689657e+02   0.000000000000e+00   5.942571627100e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.100000000000e+00   9.916469434272e+01   0.000000000000e+00   1.942029303235e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.078296747822e+02   0.000000000000e+00   5.940645391694e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.200000000000e+00   9.914373100739e+01   0.000000000000e+00   1.973606918861e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.177450984115e+02   0.000000000000e+00   5.938687572558e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.300000000000e+00   9.912248354091e+01   0.000000000000e+00   2.005172128490e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.276584115126e+02   0.000000000000e+00   5.936698181992e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.400000000000e+00   9.910095051849e+01   0.000000000000e+00   2.036724719167e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.375695856011e+02   0.000000000000e+00   5.934677232507e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.500000000000e+00   9.907913053825e+01   0.000000000000e+00   2.068264476952e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.474785920511e+02   0.000000000000e+00   5.932624736831e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.600000000000e+00   9.905702221965e+01   0.000000000000e+00   2.099791186912e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.573854020975e+02   0.000000000000e+00   5.930540707903e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
