  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  4.200000000000e+00   2.184538433979e+02   2.118495855161e-08   1.098075972316e-02  -2.302722953780e-10  -8.474459920959e-08  -9.074956644571e-11   4.627884932721e-02  -5.010395120664e-09  -5.695824749423e+03   7.071068216327e-01  -1.155725263445e-10   7.071067407404e-01   2.558852273917e-11   8.999711269001e+01
  4.300000000000e+00   2.183801086329e+02   2.249581836920e-08   1.097800958734e-02  -2.489892006749e-10  -8.853900417389e-08  -9.338402110021e-11   4.737938109549e-02  -5.705791386735e-09  -5.717666461032e+03   7.071068246958e-01  -1.272983867311e-10   7.071067376773e-01   3.080355845197e-11   8.999711193917e+01
  4.400000000000e+00   2.183046943023e+02   2.381625863610e-08   1.097517420285e-02  -2.682869640768e-10  -9.236944721908e-08  -9.589890360220e-11   4.847982602141e-02  -6.472457408756e-09  -5.739500715164e+03   7.071068278938e-01  -1.397874058873e-10   7.071067344793e-01   3.659972945225e-11   8.999711117401e+01
  4.500000000000e+00   2.182276030512e+02   2.514282934973e-08   1.097225426393e-02  -2.881183659390e-10  -9.623401512243e-08  -9.830092652140e-11   4.958018381982e-02  -7.314933256365e-09  -5.761327343995e+03   7.071068312277e-01  -1.530551754473e-10   7.071067311454e-01   4.300085761989e-11   8.999711039707e+01
  4.600000000000e+00   2.181488375304e+02   2.647232625833e-08   1.096925049264e-02  -3.084347994909e-10  -1.001310146912e-07  -1.005988441004e-10   5.068045433752e-02  -8.237835562599e-09  -5.783146179965e+03   7.071068346989e-01  -1.671158650756e-10   7.071067276742e-01   5.002879493926e-11   8.999710953019e+01
  4.700000000000e+00   2.180684003967e+02   2.780182677265e-08   1.096616363309e-02  -3.291869314912e-10  -1.040589675298e-07  -1.028032540569e-10   5.178063755166e-02  -9.245850287206e-09  -5.804957055780e+03   7.071068383084e-01  -1.819822538640e-10   7.071067240647e-01   5.770331739083e-11   8.999710866432e+01
  4.800000000000e+00   2.179862943128e+02   2.912872027511e-08   1.096299444587e-02  -3.503253549962e-10  -1.080166037863e-07  -1.049263772091e-10   5.288073356788e-02  -1.034372616541e-08  -5.826759804412e+03   7.071068420573e-01  -1.976657775634e-10   7.071067203158e-01   6.604204950523e-11   8.999710779858e+01
  4.900000000000e+00   2.179025219471e+02   3.045073254475e-08   1.095974370307e-02  -3.718012239940e-10  -1.120028550181e-07  -1.069818196963e-10   5.398074261849e-02  -1.153626892655e-08  -5.848554259100e+03   7.071068459467e-01  -2.141765904915e-10   7.071067164264e-01   7.506041981808e-11   8.999710693310e+01
  5.000000000000e+00   2.178170859736e+02   3.176594413007e-08   1.095641218362e-02  -3.935668603544e-10  -1.160168463278e-07  -1.089843226505e-10   5.508066506055e-02  -1.282833635215e-08  -5.870340253348e+03   7.071068499775e-01  -2.315236407711e-10   7.071067123956e-01   8.477164694298e-11   8.999710597381e+01
  5.100000000000e+00   2.177299890722e+02   3.307280261365e-08   1.095300066906e-02  -4.155763243813e-10  -1.200578878905e-07  -1.109495041676e-10   5.618050137396e-02  -1.422483422785e-08  -5.892117620930e+03   7.071068541506e-01  -2.497147574088e-10   7.071067082225e-01   9.518675548504e-11   8.999710502352e+01
  5.200000000000e+00   2.176412339281e+02   3.437012882008e-08   1.094950993980e-02  -4.377859412097e-10  -1.241254660000e-07  -1.128935983344e-10   5.728025215958e-02  -1.573071322799e-08  -5.913886195887e+03   7.071068584671e-01  -2.687567475969e-10   7.071067039059e-01   1.063146205558e-10   8.999710402559e+01
  5.300000000000e+00   2.175508232322e+02   3.565711711985e-08   1.094594077163e-02  -4.601547763441e-10  -1.282192337464e-07  -1.148331958927e-10   5.837991813728e-02  -1.735096675612e-08  -5.935645812530e+03   7.071068629279e-01  -2.886555025355e-10   7.071066994451e-01   1.181620392289e-10   8.999710303883e+01
  5.400000000000e+00   2.174587596809e+02   3.693333007623e-08   1.094229393269e-02  -4.826450547580e-10  -1.323390014302e-07  -1.167849908735e-10   5.947950014410e-02  -1.909062974982e-08  -5.957396305438e+03   7.071068675339e-01  -3.094161100074e-10   7.071066948392e-01   1.307338269016e-10   8.999710201190e+01
  5.500000000000e+00   2.173650459759e+02   3.819868776708e-08   1.093857018086e-02  -5.052225191495e-10  -1.364847268165e-07  -1.187655372255e-10   6.057899913246e-02  -2.095477844319e-08  -5.979137509460e+03   7.071068722860e-01  -3.310429719148e-10   7.071066900871e-01   1.440329362017e-10   8.999710092625e+01
  5.600000000000e+00   2.172696848244e+02   3.945345218892e-08   1.093477026136e-02  -5.278567241434e-10  -1.406565053058e-07  -1.207910190915e-10   6.167841616842e-02  -2.294853106702e-08  -6.000869259717e+03   7.071068771852e-01  -3.535399249833e-10   7.071066851879e-01   1.580605958092e-10   8.999709983523e+01
  5.700000000000e+00   2.171726789387e+02   4.069820721520e-08   1.093089490481e-02  -5.505212644325e-10  -1.448545601138e-07  -1.228770379754e-10   6.277775243004e-02  -2.507704945331e-08  -6.022591391600e+03   7.071068822322e-01  -3.769103628721e-10   7.071066801408e-01   1.728164663486e-10   8.999709871811e+01
  5.800000000000e+00   2.170740310365e+02   4.193383463372e-08   1.092694482556e-02  -5.731939360285e-10  -1.490792325254e-07  -1.250384195899e-10   6.387700920581e-02  -2.734554149945e-08  -6.044303740771e+03   7.071068874282e-01  -4.011573579840e-10   7.071066749448e-01   1.882988103496e-10   8.999709755759e+01
  5.900000000000e+00   2.169737438406e+02   4.316148682989e-08   1.092292072028e-02  -5.958568309359e-10  -1.533309722944e-07  -1.272890427037e-10   6.497618789317e-02  -2.975926443689e-08  -6.066006143164e+03   7.071068927741e-01  -4.262837813506e-10   7.071066695990e-01   2.045046731756e-10   8.999709639767e+01
  6.000000000000e+00   2.168718200791e+02   4.438255671188e-08   1.091882326689e-02  -6.184963666415e-10  -1.576103282381e-07  -1.296416918112e-10   6.607528999720e-02  -3.232352883987e-08  -6.087698434986e+03   7.071068982707e-01  -4.522924190729e-10   7.071066641024e-01   2.214300717766e-10   8.999709518287e+01
  6.100000000000e+00   2.167682624850e+02   4.559864549198e-08   1.091465312373e-02  -6.411032528240e-10  -1.619179390823e-07  -1.321079349495e-10   6.717431712934e-02  -3.504370330260e-08  -6.109380452718e+03   7.071069039191e-01  -4.791860839175e-10   7.071066584539e-01   2.390701881330e-10   8.999709395466e+01
