  Time[s]              u[ft/s]             v[ft/s]               w[ft/s]               p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                phi[rad]             theta[rad]             psi[rad]
  2.550000000000e-01   2.026281946854e+02  -9.544285656985e-01   3.649933088407e+00   1.059837422235e+02  -1.761829698537e-01  -1.078437047781e-01   5.248075530520e+01  -3.581862632948e-03  -8.559179571707e+00   2.474828364472e+01   6.611443397446e-02  -2.620014252679e-03
  2.600000000000e-01   2.024867520880e+02   1.046109026130e+00   3.577391362151e+00   1.059121301893e+02  -2.109278613912e-01  -4.602396047717e-03   5.349258346663e+01  -3.809992702401e-03  -8.607054283278e+00   2.527801223269e+01   6.508570605509e-02  -2.791893407448e-03
  2.650000000000e-01   2.023484274107e+02   2.702236979499e+00   2.495644996876e+00   1.058402353644e+02  -1.883521006416e-01   1.042114865701e-01   5.450374472885e+01  -4.045410295769e-03  -8.654093220102e+00   2.580738170208e+01   6.403596435209e-02  -2.969693636559e-03
  2.700000000000e-01   2.022151942528e+02   3.550676500066e+00   7.368283810392e-01   1.057685139934e+02  -1.125320732475e-01   1.883503340443e-01   5.551426063424e+01  -4.288120745510e-03  -8.700298141615e+00   2.633639176048e+01   6.296586104816e-02  -3.153321240227e-03
  2.750000000000e-01   2.020841348419e+02   3.370516897856e+00  -1.180650089181e+00   1.056972859708e+02  -2.668614417014e-03   2.233990148565e-01   5.652415003196e+01  -4.538120723872e-03  -8.745670595872e+00   2.686504424173e+01   6.187607464623e-02  -3.342666717077e-03
  2.800000000000e-01   2.019507284540e+02   2.241334168260e+00  -2.705862159279e+00   1.056264394732e+02   1.118210982322e-01   1.978683413325e-01   5.753341123049e+01  -4.795338636205e-03  -8.790210818940e+00   2.739334152848e+01   6.076730618522e-02  -3.537603645157e-03
  2.850000000000e-01   2.018136406268e+02   5.129128851316e-01  -3.415067063996e+00   1.055555956792e+02   1.992618201831e-01   1.168467796682e-01   5.854202649547e+01  -5.059638699394e-03  -8.833918071055e+00   2.792128462699e+01   5.964027836816e-02  -3.737991696323e-03
  2.900000000000e-01   2.016759187362e+02  -1.302658868160e+00  -3.130746369014e+00   1.054845374125e+02   2.345536020354e-01   1.073365990512e-03   5.954998298620e+01  -5.330890486750e-03  -8.876791939436e+00   2.844887289214e+01   5.849573604050e-02  -3.943675083855e-03
  2.950000000000e-01   2.015415458685e+02  -2.683287799442e+00  -1.966234111084e+00   1.054134401870e+02   2.063957349795e-01  -1.184308315281e-01   6.055728734496e+01  -5.609029318826e-03  -8.918833181735e+00   2.897610557101e+01   5.733444186526e-02  -4.154481885830e-03
  3.000000000000e-01   2.014112314899e+02  -3.248097305448e+00  -2.847524990951e-01   1.053426776342e+02   1.208141004906e-01  -2.087649680165e-01   6.156395910961e+01  -5.894039809128e-03  -8.960043285246e+00   2.950298343155e+01   5.615717514025e-02  -4.370226425075e-03
  3.050000000000e-01   2.012818897618e+02  -2.863524099724e+00   1.413020759905e+00   1.052724318499e+02  -8.927181217369e-05  -2.442806703136e-01   6.257001115768e+01  -6.185879562561e-03  -9.000423321667e+00   3.002950876684e+01   5.496473165776e-02  -4.590707782782e-03
  3.100000000000e-01   2.011501187829e+02  -1.674549785426e+00   2.638193915623e+00   1.052025284254e+02  -1.239145923235e-01  -2.138885618535e-01   6.357543845153e+01  -6.484424206093e-03  -9.039973347782e+00   3.055568387184e+01   5.375792023445e-02  -4.815710052941e-03
  3.150000000000e-01   2.010157667581e+02  -5.396892073464e-02   3.055183703359e+00   1.051326531516e+02  -2.167401077129e-01  -1.244522250437e-01   6.458022627612e+01  -6.789495194343e-03  -9.078692909103e+00   3.108150967834e+01   5.253756226576e-02  -5.045004585487e-03
  3.200000000000e-01   2.008818342974e+02   1.513243537901e+00   2.574393384368e+00   1.050626965145e+02  -2.524932447557e-01   7.547969443519e-04   6.558436795157e+01  -7.100943296316e-03  -9.116582007151e+00   3.160698595033e+01   5.130449091649e-02  -5.278348638828e-03
  3.250000000000e-01   2.007510766784e+02   2.574826618770e+00   1.370310701124e+00   1.049928559832e+02  -2.203056771962e-01   1.281842580069e-01   6.658787275634e+01  -7.418695656350e-03  -9.153641481998e+00   3.213211270716e+01   5.005954752956e-02  -5.515485846140e-03
  3.300000000000e-01   2.006231216199e+02   2.842129021281e+00  -1.781309772503e-01   1.049234075572e+02  -1.277676427256e-01   2.231000857606e-01   6.759075647995e+01  -7.742714312707e-03  -9.189872482548e+00   3.265689128259e+01   4.880358101729e-02  -5.756147791263e-03
  3.350000000000e-01   2.004951049597e+02   2.269062083081e+00  -1.605187131814e+00   1.048544125453e+02   8.809344421329e-04   2.591269169240e-01   6.859302587654e+01  -8.072912325460e-03  -9.225275681372e+00   3.318132393420e+01   4.753744674671e-02  -6.000053017523e-03
  3.400000000000e-01   2.003648902326e+02   1.057473755225e+00  -2.497731704092e+00   1.047856737852e+02   1.311831584095e-01   2.256146178492e-01   6.959467389550e+01  -8.409119195636e-03  -9.259851078554e+00   3.370541252858e+01   4.626200378008e-02  -6.246908206015e-03
  3.450000000000e-01   2.002332609946e+02  -4.104877197247e-01  -2.614887219982e+00   1.047169677022e+02   2.277919903519e-01   1.307546245709e-01   7.059568988019e+01  -8.751134641200e-03  -9.293598523957e+00   3.422915776148e+01   4.497811449743e-02  -6.496409562877e-03
  3.500000000000e-01   2.001028319779e+02  -1.690989314823e+00  -1.953225828569e+00   1.046482838890e+02   2.641404971646e-01  -4.569263863240e-04   7.159607270647e+01  -9.098811806879e-03  -9.326518324336e+00   3.475255968827e+01   4.368664294651e-02  -6.748242044300e-03
  3.550000000000e-01   1.999750920752e+02  -2.411656374131e+00  -7.399078998417e-01   1.045798167865e+02   2.297873517299e-01  -1.328923864873e-01   7.259583262539e+01  -9.452076502259e-03  -9.358611291257e+00   3.527561888548e+01   4.238845227569e-02  -7.002080488407e-03
  3.600000000000e-01   1.998488866339e+02  -2.379522557032e+00   6.421222651242e-01   1.045117384884e+02   1.333962087295e-01  -2.307954942077e-01   7.359498073545e+01  -9.810862011026e-03  -9.389878251630e+00   3.579833694782e+01   4.108440428563e-02  -7.257590493184e-03
  3.650000000000e-01   1.997218640450e+02  -1.632609223862e+00   1.772831039496e+00   1.044440138933e+02   5.050776565787e-04  -2.675157350243e-01   7.459351836253e+01  -1.017503344360e-02  -9.420319605946e+00   3.632071584123e+01   3.977535773465e-02  -7.514428170320e-03
  3.700000000000e-01   1.995931084268e+02  -4.214462217196e-01   2.321327648935e+00   1.043764541647e+02  -1.333254826980e-01  -2.328040622315e-01   7.559143781716e+01  -1.054438620827e-02  -9.449935393954e+00   3.684275690070e+01   3.846216641339e-02  -7.772241723363e-03
