  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  4.000000000000e+00   2.186387621799e+02  -5.834423802338e-06   1.154102830240e-02   8.641423115602e-08   1.946204938664e-05   1.165214530813e-08   2.784600902744e-02  -3.005894182161e-06  -1.378175641215e+03  -2.300696244360e-08   7.071479194243e-01  -5.202984373779e-08  -7.070656405553e-01   8.999624681911e+01
  4.100000000000e+00   2.185705890229e+02  -5.865907815334e-06   1.154272915644e-02   8.902460956266e-08   1.964683118575e-05   1.099805881718e-08   2.925682024724e-02  -3.330482628144e-06  -1.400036122341e+03  -2.570892903600e-08   7.071486107721e-01  -5.553212057612e-08  -7.070649491264e-01   8.999613438719e+01
  4.200000000000e+00   2.185007875115e+02  -5.879772349502e-06   1.154147932677e-02   9.137169803539e-08   1.982057999371e-05   1.038547837474e-08   3.070973146896e-02  -3.676564732418e-06  -1.421889704708e+03  -2.852098482911e-08   7.071493084528e-01  -5.909962201950e-08  -7.070642513624e-01   8.999602020130e+01
  4.300000000000e+00   2.184293603252e+02  -5.877478884004e-06   1.153714217080e-02   9.345009398239e-08   1.998461962696e-05   9.825940129317e-09   3.220537787947e-02  -4.044472869988e-06  -1.443736225615e+03  -3.143203811071e-08   7.071500121000e-01  -6.272460755242e-08  -7.070635476299e-01   8.999590428586e+01
  4.400000000000e+00   2.183563101478e+02  -5.860685122569e-06   1.152961568823e-02   9.525844325396e-08   2.014023270387e-05   9.329637237852e-09   3.374438405946e-02  -4.434499609396e-06  -1.465575522629e+03  -3.443049335335e-08   7.071507213932e-01  -6.639960202552e-08  -7.070628382493e-01   8.999578666615e+01
  4.500000000000e+00   2.182816396672e+02  -5.831208427859e-06   1.151882965540e-02   9.679933838097e-08   2.028865442884e-05   8.905287056817e-09   3.532736347566e-02  -4.846902035878e-06  -1.487407433584e+03  -3.750444269713e-08   7.071514360563e-01  -7.011748725952e-08  -7.070621234966e-01   8.999566736834e+01
  4.600000000000e+00   2.182053515762e+02  -5.790987783366e-06   1.150474279563e-02   9.807914801257e-08   2.043106745027e-05   8.560033354982e-09   3.695491815157e-02  -5.281906549359e-06  -1.509231796585e+03  -4.064185668022e-08   7.071521558563e-01  -7.387158473994e-08  -7.070614036049e-01   8.999554641860e+01
  4.700000000000e+00   2.181274485718e+02  -5.742045096544e-06   1.148734000615e-02   9.910778363472e-08   2.056859772006e-05   8.299383772910e-09   3.862763850068e-02  -5.739714034821e-06  -1.531048450005e+03  -4.383077064447e-08   7.071528806008e-01  -7.765572831919e-08  -7.070606787667e-01   8.999542384294e+01
  4.800000000000e+00   2.180479333557e+02  -5.686446629944e-06   1.146662965893e-02   9.989841064888e-08   2.070231128182e-05   8.127182024401e-09   4.034610330645e-02  -6.220505300210e-06  -1.552857232487e+03  -4.705946348173e-08   7.071536101361e-01  -8.146432607037e-08  -7.070599491355e-01   8.999529966691e+01
  4.900000000000e+00   2.179668086341e+02  -5.626265305570e-06   1.144264099048e-02   1.004671116891e-07   2.083321191446e-05   8.045613656761e-09   4.211087983395e-02  -6.724446676822e-06  -1.574657982947e+03  -5.031662568158e-08   7.071543443452e-01  -8.529241067251e-08  -7.070592148284e-01   8.999517391549e+01
  5.000000000000e+00   2.178840771180e+02  -5.563544573041e-06   1.141542159327e-02   1.008325106507e-07   2.096223955885e-05   8.055243570798e-09   4.392252405850e-02  -7.251695679023e-06  -1.596450540568e+03  -5.359151398359e-08   7.071550831455e-01  -8.913567794355e-08  -7.070584759279e-01   8.999504661235e+01
  5.100000000000e+00   2.177997415231e+02  -5.500264466399e-06   1.138503501913e-02   1.010153662938e-07   2.109026945617e-05   8.155082956813e-09   4.578158099706e-02  -7.802406623852e-06  -1.618234744806e+03  -5.687409031801e-08   7.071558264864e-01  -9.299051337096e-08  -7.070577324846e-01   8.999491778007e+01
  5.200000000000e+00   2.177138045695e+02  -5.438310399494e-06   1.135155850286e-02   1.010381444734e-07   2.121811192831e-05   8.342682836453e-09   4.768858512916e-02  -8.376736116632e-06  -1.640010435390e+03  -6.015514312726e-08   7.071565743471e-01  -9.685400671588e-08  -7.070569845194e-01   8.999478743968e+01
  5.300000000000e+00   2.176262689824e+02  -5.379445167811e-06   1.131508081250e-02   1.009245780418e-07   2.134651273279e-05   8.614251017169e-09   4.964406089447e-02  -8.974848315700e-06  -1.661777452320e+03  -6.342638958748e-08   7.071573267345e-01  -1.007239549806e-07  -7.070562320253e-01   8.999465561095e+01
  5.400000000000e+00   2.175371374914e+02  -5.325284537558e-06   1.127570023081e-02   1.006992232802e-07   2.147615392691e-05   8.964788969044e-09   5.164852325505e-02  -9.596919897775e-06  -1.683535635869e+03  -6.668055768479e-08   7.071580836803e-01  -1.045988542283e-07  -7.070554749704e-01   8.999452231137e+01
  5.500000000000e+00   2.174464128308e+02  -5.277276712720e-06   1.123352267094e-02   1.003870213580e-07   2.160765517893e-05   9.388244923905e-09   5.370247831105e-02  -1.024314465490e-05  -1.705284826582e+03  -6.991144753577e-08   7.071588452397e-01  -1.084778809223e-07  -7.070547132997e-01   8.999438755738e+01
  5.600000000000e+00   2.173540977396e+02  -5.236685879794e-06   1.118865992772e-02   1.000128728067e-07   2.174157546668e-05   9.877679373195e-09   5.580642395926e-02  -1.091373766422e-05  -1.727024865280e+03  -7.311397176646e-08   7.071596114883e-01  -1.123608636141e-07  -7.070539469374e-01   8.999425136287e+01
  5.700000000000e+00   2.172601949612e+02  -5.204579939728e-06   1.114122806493e-02   9.960123235295e-08   2.187841510747e-05   1.042543910140e-08   5.796085058497e-02  -1.160893898265e-05  -1.748755593056e+03  -7.628417517189e-08   7.071603825208e-01  -1.162482459391e-07  -7.070531757888e-01   8.999411373996e+01
  5.800000000000e+00   2.171647072438e+02  -5.181822449200e-06   1.109134593732e-02   9.917573069638e-08   2.201861806617e-05   1.102333593180e-08   6.016624177797e-02  -1.232901682996e-05  -1.770476851279e+03  -7.941923426093e-08   7.071611584483e-01  -1.201410419960e-07  -7.070523997428e-01   8.999397469907e+01
  5.900000000000e+00   2.170676373399e+02  -5.169068710192e-06   1.103913384557e-02   9.875882897043e-08   2.216257449202e-05   1.166282647575e-08   6.242307506471e-02  -1.307427023478e-05  -1.792188481593e+03  -8.251743764241e-08   7.071619393967e-01  -1.240407852649e-07  -7.070516186734e-01   8.999383424829e+01
  6.000000000000e+00   2.169689880065e+02  -5.166765869433e-06   1.098471232105e-02   9.837151070644e-08   2.231062343809e-05   1.233518935825e-08   6.473182264902e-02  -1.384503112963e-05  -1.813890325915e+03  -8.557814852371e-08   7.071627255050e-01  -1.279494722809e-07  -7.070508324416e-01   8.999369239380e+01
  6.100000000000e+00   2.168687620049e+02  -5.175156818819e-06   1.092820103681e-02   9.803301515765e-08   2.246305572053e-05   1.303169663489e-08   6.709295215487e-02  -1.464166589184e-05  -1.835582226442e+03  -8.860175086687e-08   7.071635169229e-01  -1.318695023121e-07  -7.070500408975e-01   8.999354914006e+01
  6.200000000000e+00   2.167669621008e+02  -5.194287625465e-06   1.086971784024e-02   9.776061485055e-08   2.262011687866e-05   1.374377640820e-08   6.950692736495e-02  -1.546457633749e-05  -1.857264025645e+03  -9.158958097744e-08   7.071643138100e-01  -1.358036142991e-07  -7.070492438816e-01   8.999340448894e+01
  6.300000000000e+00   2.166635910641e+02  -5.224018166345e-06   1.080937790267e-02   9.756943923924e-08   2.278201019993e-05   1.446316398816e-08   7.197420895000e-02  -1.631420018545e-05  -1.878935566271e+03  -9.454384648501e-08   7.071651163335e-01  -1.397548222954e-07  -7.070484412266e-01   8.999325844110e+01
  6.400000000000e+00   2.165586516688e+02  -5.264035598116e-06   1.074729298019e-02   9.747234536226e-08   2.294889977751e-05   1.518203931080e-08   7.449525518406e-02  -1.719101101727e-05  -1.900596691346e+03  -9.746753481076e-08   7.071659246674e-01  -1.437263506118e-07  -7.070476327584e-01   8.999311099483e+01
  6.500000000000e+00   2.164521466932e+02  -5.313870258084e-06   1.068357078023e-02   9.747983546122e-08   2.312091357111e-05   1.589314872313e-08   7.707052264175e-02  -1.809551776664e-05  -1.922247244172e+03  -1.003643133064e-07   7.071667389905e-01  -1.477215698076e-07  -7.070468182981e-01   8.999296214683e+01
  6.600000000000e+00   2.163440789192e+02  -5.372913567433e-06   1.061831442769e-02   9.760002063136e-08   2.329814644522e-05   1.658990965077e-08   7.970046687402e-02  -1.902826377891e-05  -1.943887068331e+03  -1.032384232910e-07   7.071675594857e-01  -1.517439345945e-07  -7.070459976628e-01   8.999281189221e+01
  6.700000000000e+00   2.162344511330e+02  -5.440437492769e-06   1.055162202441e-02   9.783862875188e-08   2.348066316158e-05   1.726649707986e-08   8.238554305957e-02  -1.998982548689e-05  -1.965516007681e+03  -1.060945702106e-07   7.071683863389e-01  -1.557969246272e-07  -7.070451706665e-01   8.999266022385e+01
  6.800000000000e+00   2.161232661246e+02  -5.515615116464e-06   1.048358629566e-02   9.819905420059e-08   2.366850130603e-05   1.791791119593e-08   8.512620662959e-02  -2.098081075369e-05  -1.987133906361e+03  -1.089378120984e-07   7.071692197374e-01  -1.598839890477e-07  -7.070443371217e-01   8.999250713368e+01
  6.900000000000e+00   2.160105266876e+02  -5.597541869753e-06   1.041429431736e-02   9.868244620275e-08   2.386167413203e-05   1.854002592416e-08   8.792291386384e-02  -2.200185693649e-05  -2.008740608788e+03  -1.117734484332e-07   7.071700598698e-01  -1.640084955343e-07  -7.070434968400e-01   8.999235261161e+01
  7.000000000000e+00   2.158962356194e+02  -5.685256994518e-06   1.034382731741e-02   9.928783210691e-08   2.406017330647e-05   1.912961849804e-08   9.077612245675e-02  -2.305362872754e-05  -2.030335959659e+03  -1.146069113697e-07   7.071709069244e-01  -1.681736844844e-07  -7.070426496328e-01   8.999219664623e+01
  7.100000000000e+00   2.157803957210e+02  -5.777764819345e-06   1.027226054510e-02   1.000122714251e-07   2.426397154512e-05   1.968438054241e-08   9.368629205249e-02  -2.413681582924e-05  -2.051919803949e+03  -1.174436611682e-07   7.071717610891e-01  -1.723826288280e-07  -7.070417953121e-01   8.999203922502e+01
  7.200000000000e+00   2.156630097969e+02  -5.874055462080e-06   1.019966320220e-02   1.008510361252e-07   2.447302512786e-05   2.020291148485e-08   9.665388474824e-02  -2.525213052031e-05  -2.073491986917e+03  -1.202890874716e-07   7.071726225505e-01  -1.766381998432e-07  -7.070409336913e-01   8.999188033378e+01
  7.300000000000e+00   2.155440806550e+02  -5.973124603664e-06   1.012609842972e-02   1.017978124194e-07   2.468727628570e-05   2.068469540341e-08   9.967936556558e-02  -2.640030516868e-05  -2.095052354100e+03  -1.231484178806e-07   7.071734914934e-01  -1.809430392089e-07  -7.070400645855e-01   8.999171995730e+01
  7.400000000000e+00   2.154236111068e+02  -6.073992015623e-06   1.005162334460e-02   1.028449191540e-07   2.490665545348e-05   2.113006267327e-08   1.027632028897e-01  -2.758208974428e-05  -2.116600751316e+03  -1.260266350640e-07   7.071743681003e-01  -1.852995374094e-07  -7.070391878121e-01   8.999155807925e+01
  7.500000000000e+00   2.153016039668e+02  -6.175718565133e-06   9.976289120485e-03   1.039835378678e-07   2.513108338424e-05   2.154013798916e-08   1.059058688773e-01  -2.879824938246e-05  -2.138137024665e+03  -1.289284034122e-07   7.071752525510e-01  -1.897098184778e-07  -7.070383031911e-01   8.999139468221e+01
  7.600000000000e+00   2.151780620529e+02  -6.277421466070e-06   9.900141107316e-03   1.052039496452e-07   2.536047312239e-05   2.191677651093e-08   1.091078398322e-01  -3.004956204405e-05  -2.159661020529e+03  -1.318580060130e-07   7.071761450226e-01  -1.941757309539e-07  -7.070374105455e-01   8.999122974761e+01
  7.700000000000e+00   2.150529881861e+02  -6.378287590805e-06   9.823218984555e-03   1.064957740390e-07   2.559473183487e-05   2.226249000698e-08   1.123695965520e-01  -3.133681631446e-05  -2.181172585571e+03  -1.348192924916e-07   7.071770456887e-01  -1.986988448263e-07  -7.070365097015e-01   8.999106325629e+01
  7.800000000000e+00   2.149263851903e+02  -6.477584704789e-06   9.745556943145e-03   1.078482055649e-07   2.583376250013e-05   2.258036495361e-08   1.156916246438e-01  -3.266080937845e-05  -2.202671566736e+03  -1.378156380284e-07   7.071779547198e-01  -2.032804541304e-07  -7.070356004886e-01   8.999089518810e+01
  7.900000000000e+00   2.147982558926e+02  -6.574670533093e-06   9.667183891643e-03   1.092502435756e-07   2.607746545661e-05   2.287397458936e-08   1.190744148116e-01  -3.402234520241e-05  -2.224157811253e+03  -1.408499136407e-07   7.071788722827e-01  -2.079215847940e-07  -7.070346827397e-01   8.999072552207e+01
  8.000000000000e+00   2.146686031229e+02  -6.668999614257e-06   9.588123682218e-03   1.106909116810e-07   2.632573981289e-05   2.314728692349e-08   1.225184631172e-01  -3.542223294977e-05  -2.245631166633e+03  -1.439244676053e-07   7.071797985409e-01  -2.126230072484e-07  -7.070337562914e-01   8.999055423672e+01
  8.100000000000e+00   2.145374297142e+02  -6.760127941116e-06   9.508395352521e-03   1.121594633009e-07   2.657848472287e-05   2.340457065917e-08   1.260242712135e-01  -3.686128564969e-05  -2.267091480670e+03  -1.470411176990e-07   7.071807336541e-01  -2.173852532651e-07  -7.070328209839e-01   8.999038130951e+01
  8.200000000000e+00   2.144047385019e+02  -6.847715430027e-06   9.428013379725e-03   1.136455703890e-07   2.683560053000e-05   2.365030091853e-08   1.295923465547e-01  -3.834031913323e-05  -2.288538601441e+03  -1.502011537513e-07   7.071816777785e-01  -2.222086364347e-07  -7.070318766607e-01   8.999020671790e+01
  8.300000000000e+00   2.142705323243e+02  -6.931526298430e-06   9.346987943342e-03   1.151394928542e-07   2.709698978538e-05   2.388906655102e-08   1.332232025819e-01  -3.986015124530e-05  -2.309972377309e+03  -1.534053498466e-07   7.071826310669e-01  -2.270932756722e-07  -7.070309231690e-01   8.999003043844e+01
  8.400000000000e+00   2.141348140226e+02  -7.011427465417e-06   9.265325193693e-03   1.166322267058e-07   2.736255814469e-05   2.412548067328e-08   1.369173588875e-01  -4.142160133516e-05  -2.331392656917e+03  -1.566539853691e-07   7.071835936687e-01  -2.320391211157e-07  -7.070299603593e-01   8.998985244732e+01
  8.500000000000e+00   2.139975864401e+02  -7.087385120514e-06   9.183027523223e-03   1.181156294634e-07   2.763221515004e-05   2.436409593193e-08   1.406753413593e-01  -4.302549002304e-05  -2.352799289195e+03  -1.599468739722e-07   7.071845657299e-01  -2.370459817799e-07  -7.070289880856e-01   8.998967272008e+01
